<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BSESN,D,20000418,000000,4973.2500,4981.4200,4723.1900,4745.4700,0,0
^BSESN,D,20000419,000000,4884.8100,4901.5000,4571.1200,4665.8100,0,0
^BSESN,D,20000420,000000,4561.0700,4698.3400,4431.7400,4657.4200,0,0
^BSESN,D,20000424,000000,4723.2700,4723.2700,4509.0900,4511.0500,0,0
^BSESN,D,20000425,000000,4336.6400,4552.4800,4284.1700,4533.9900,0,0
^BSESN,D,20000426,000000,4692.7800,4803.2700,4626.3900,4626.3900,0,0
^BSESN,D,20000427,000000,4761.9000,4799.2600,4637.0300,4679.6300,0,0
^BSESN,D,20000428,000000,4767.8900,4767.8900,4625.0000,4657.5500,0,0
^BSESN,D,20000502,000000,4736.0200,4737.6800,4344.5100,4372.2200,0,0
^BSESN,D,20000503,000000,4200.7400,4394.5800,4109.6600,4335.2900,0,0
^BSESN,D,20000504,000000,4384.5300,4568.5400,4335.0400,4553.9200,0,0
^BSESN,D,20000505,000000,4600.6400,4731.9400,4590.1300,4693.8800,0,0
^BSESN,D,20000508,000000,4744.8300,4757.8900,4463.4000,4463.4000,0,0
^BSESN,D,20000509,000000,4365.2600,4578.4900,4351.1400,4578.4900,0,0
^BSESN,D,20000510,000000,4593.3800,4593.3800,4449.8900,4458.4000,0,0
^BSESN,D,20000511,000000,4324.1900,4352.5600,4198.1700,4251.3600,0,0
^BSESN,D,20000512,000000,4243.5400,4267.8700,4102.7700,4107.1400,0,0
^BSESN,D,20000515,000000,4024.6600,4249.4500,3912.9500,4212.5300,0,0
^BSESN,D,20000516,000000,4239.4400,4247.1900,4154.0700,4230.1300,0,0
^BSESN,D,20000517,000000,4306.0100,4367.2200,4195.1900,4234.2300,0,0
^BSESN,D,20000518,000000,4205.4800,4254.3500,4159.9000,4192.4400,0,0
^BSESN,D,20000519,000000,4149.3900,4150.7700,4026.6400,4068.6500,0,0
^BSESN,D,20000522,000000,3978.5400,4015.3800,3920.1800,3920.1800,0,0
^BSESN,D,20000523,000000,3878.8200,3943.5400,3831.8600,3943.5400,0,0
^BSESN,D,20000524,000000,3872.7000,3981.4600,3840.1100,3933.6500,0,0
^BSESN,D,20000525,000000,3962.9800,4060.7600,3961.0200,3999.0300,0,0
^BSESN,D,20000526,000000,3994.4000,4097.6000,3947.3300,4084.7100,0,0
^BSESN,D,20000529,000000,4082.9100,4222.6500,4064.4600,4189.8500,0,0
^BSESN,D,20000530,000000,4207.0100,4318.6500,4185.3600,4311.7700,0,0
^BSESN,D,20000531,000000,4434.9900,4536.1000,4416.8800,4433.6100,0,0
^BSESN,D,20000601,000000,4406.5200,4412.2000,4321.2600,4325.4700,0,0
^BSESN,D,20000602,000000,4381.7000,4486.9900,4381.7000,4453.4700,0,0
^BSESN,D,20000605,000000,4609.7800,4705.4900,4485.2900,4531.5300,0,0
^BSESN,D,20000606,000000,4555.1800,4605.4600,4488.2300,4591.6800,0,0
^BSESN,D,20000607,000000,4580.8900,4650.8800,4556.5200,4604.8400,0,0
^BSESN,D,20000608,000000,4656.0000,4746.8800,4656.0000,4728.8100,0,0
^BSESN,D,20000609,000000,4772.0000,4797.5900,4712.2100,4729.6300,0,0
^BSESN,D,20000612,000000,4794.6700,4800.1300,4638.8100,4639.4600,0,0
^BSESN,D,20000613,000000,4583.3400,4640.5900,4555.0900,4615.1300,0,0
^BSESN,D,20000614,000000,4648.7800,4693.6700,4604.5000,4625.0400,0,0
^BSESN,D,20000615,000000,4609.9800,4685.6300,4575.0300,4653.2200,0,0
^BSESN,D,20000616,000000,4666.0600,4768.5900,4654.1200,4764.6700,0,0
^BSESN,D,20000619,000000,4808.2500,4884.8900,4788.9400,4837.2400,0,0
^BSESN,D,20000620,000000,4891.2300,4919.6300,4834.7900,4863.9000,0,0
^BSESN,D,20000621,000000,4888.4300,4888.4300,4723.5700,4731.5700,0,0
^BSESN,D,20000622,000000,4749.4000,4795.1000,4693.4600,4794.1600,0,0
^BSESN,D,20000623,000000,4771.0700,4822.6300,4687.3100,4721.7000,0,0
^BSESN,D,20000626,000000,4674.2100,4697.6300,4607.5800,4670.0900,0,0
^BSESN,D,20000627,000000,4682.5900,4732.7000,4677.5700,4686.9100,0,0
